Álbum,Canción,neutral,fear,anger,disgust,joy,surprise,sadness
Las mujeres ya no lloran,Puntería,40.48,38.1,11.9,2.38,4.76,2.38,0.0
Las mujeres ya no lloran,Fuerte,30.77,42.31,7.69,7.69,3.85,0.0,7.69
Las mujeres ya no lloran,Tiempo sin verte,73.33,13.33,6.67,0.0,0.0,0.0,6.67
Las mujeres ya no lloran,Cohete,23.53,52.94,2.94,2.94,8.82,2.94,5.88
Las mujeres ya no lloran,(Entre Paréntesis),28.12,15.62,25.0,25.0,0.0,0.0,6.25
Las mujeres ya no lloran,"Cómo, dónde y cuándo",72.73,4.55,9.09,9.09,4.55,0.0,0.0
Las mujeres ya no lloran,Nassau,28.57,61.9,9.52,0.0,0.0,0.0,0.0
Las mujeres ya no lloran,Última,28.57,9.52,4.76,0.0,4.76,14.29,38.1
Las mujeres ya no lloran,Te felicito,50.0,19.23,15.38,7.69,3.85,0.0,3.85
Las mujeres ya no lloran,Monotonía,35.29,11.76,11.76,11.76,11.76,5.88,11.76
Las mujeres ya no lloran,"Shakira: BZRP Music Session, Vol. 53",56.52,17.39,4.35,13.04,0.0,0.0,8.7
Las mujeres ya no lloran,TQG,35.0,25.0,15.0,5.0,5.0,15.0,0.0
Las mujeres ya no lloran,Acróstico,47.62,19.05,4.76,0.0,28.57,0.0,0.0
Las mujeres ya no lloran,Copa vacía,45.45,22.73,13.64,9.09,4.55,4.55,0.0
Las mujeres ya no lloran,El jefe,47.62,9.52,9.52,28.57,0.0,0.0,4.76
El Dorado,Me enamoré,21.62,35.14,2.7,10.81,21.62,8.11,0.0
El Dorado,Nada,21.05,31.58,15.79,0.0,5.26,0.0,26.32
El Dorado,Chantaje,22.64,32.08,28.3,11.32,1.89,1.89,1.89
El Dorado,When a woman,36.21,10.34,15.52,32.76,1.72,1.72,1.72
El Dorado,Amarillo,30.43,17.39,4.35,4.35,26.09,6.52,10.87
El Dorado,Perro fiel,19.4,50.75,11.94,0.0,13.43,1.49,2.99
El Dorado,Trap,35.85,41.51,1.89,1.89,3.77,1.89,13.21
El Dorado,Comme moi,25.81,54.84,3.23,1.61,0.0,0.0,14.52
El Dorado,Coconut tree,22.73,61.36,9.09,0.0,2.27,0.0,4.55
El Dorado,La bicicleta,25.81,46.77,0.0,4.84,17.74,0.0,4.84
El Dorado,Deja vu,34.21,44.74,5.26,13.16,2.63,0.0,0.0
El Dorado,What we said,50.88,19.3,7.02,0.0,1.75,0.0,21.05
El Dorado,Toneladas,16.22,54.05,2.7,0.0,27.03,0.0,0.0
Shakira,Dare (La La),32.39,56.34,7.04,2.82,1.41,0.0,0.0
Shakira,Can't remember to forget you,20.34,57.63,6.78,13.56,0.0,0.0,1.69
Shakira,Empire,56.36,36.36,5.45,1.82,0.0,0.0,0.0
Shakira,You don't care about me,26.32,14.04,38.6,3.51,5.26,5.26,7.02
Shakira,Cut me deep,18.18,33.33,42.42,0.0,0.0,0.0,6.06
Shakira,Spotlight,32.61,23.91,15.22,4.35,13.04,0.0,10.87
Shakira,Broken record,58.33,29.17,6.25,2.08,0.0,0.0,4.17
Shakira,Medicine,32.08,47.17,5.66,0.0,11.32,1.89,1.89
Shakira,23,35.71,35.71,14.29,1.79,7.14,0.0,5.36
Shakira,The one thing,31.82,34.85,10.61,3.03,16.67,1.52,1.52
Shakira,Nunca me acuerdo de olvidarte,41.18,44.12,2.94,7.35,0.0,0.0,4.41
Shakira,Loca por ti,32.35,41.18,2.94,5.88,2.94,0.0,14.71
Sale el Sol,Sale el sol,55.81,39.53,2.33,2.33,0.0,0.0,0.0
Sale el Sol,Loca,37.97,27.85,18.99,13.92,0.0,0.0,1.27
Sale el Sol,Antes de las seis,26.47,64.71,2.94,5.88,0.0,0.0,0.0
Sale el Sol,Gordita,40.0,25.19,5.19,12.59,4.44,12.59,0.0
Sale el Sol,Addicted to you,48.98,24.49,0.0,12.24,12.24,0.0,2.04
Sale el Sol,Lo que más,20.0,33.33,3.33,3.33,33.33,0.0,6.67
Sale el Sol,Mariposas,27.08,64.58,6.25,0.0,2.08,0.0,0.0
Sale el Sol,Rabiosa,20.75,39.62,35.85,1.89,0.0,0.0,1.89
Sale el Sol,Devoción,37.21,13.95,9.3,9.3,4.65,9.3,16.28
Sale el Sol,Islands,44.12,47.06,2.94,2.94,0.0,0.0,2.94
Sale el Sol,Tu boca,29.55,31.82,22.73,13.64,2.27,0.0,0.0
Sale el Sol,Waka waka,59.65,38.6,1.75,0.0,0.0,0.0,0.0
She Wolf,She wolf,100.0,0.0,0.0,0.0,0.0,0.0,0.0
She Wolf,Did it again,16.67,37.5,18.06,9.72,12.5,4.17,1.39
She Wolf,Long time,40.62,46.88,0.0,0.0,12.5,0.0,0.0
She Wolf,Why wait,43.1,32.76,12.07,3.45,1.72,6.9,0.0
She Wolf,Good stuff,35.85,28.3,13.21,1.89,11.32,1.89,7.55
She Wolf,Men in this town,55.0,28.33,6.67,1.67,0.0,3.33,5.0
She Wolf,Gypsy,20.51,53.85,17.95,2.56,2.56,0.0,2.56
She Wolf,Spy,56.0,33.33,0.0,4.0,6.67,0.0,0.0
